line_id,species,lambda0_ang,q_cm1,lambda0_unc_ang,converged,flags,lambda_obs,sigma_lambda_obs,depth,width,depth_err,chi2_local,reduced_chi2_local,dof_local,n_components,best_k,delta_bic_vs_k1,asymmetry,snr,window_contam
line_0001,Ni V,1167.102,2415,0.005,True,,1166.857017117532,0.00841009235835571,0.8336967844676703,0.4999999999999656,0.04386528660047306,305.3778768643326,3.053778768643326,100.0,1.0,1.0,0.0,0.7024171579439658,19.005843779410743,0.0
line_0004,Fe V,1195.0981,3503,0.004,True,BLEND_RESOLVED,1194.8999506987097,0.009412394388449569,0.15757120449937526,0.13371158337046768,0.015404273817360545,205.03259725720466,2.0921693597673943,98.0,2.0,2.0,242.06774450709332,0.02567077256136936,10.22905762177463,0.3333333333333333
line_0005,Ni V,1195.189,3065,0.002,True,BLEND_RESOLVED,1194.8916000000002,0.006952162260034445,0.47099132810887695,0.16391435184070227,0.02061217471426657,257.6135133414755,2.6287093198109743,98.0,2.0,2.0,156.13136617391206,1.846611464279285,22.850152137653076,0.3333333333333333
line_0006,Ni V,1198.519,3739,0.002,True,BLEND_MODELED,1198.6621026057212,0.005598025540838349,0.8638559582712528,0.4999999999990005,0.021723411597595235,330.3156058340507,3.370567406469905,98.0,2.0,2.0,3062.462760017212,0.07439678709817805,39.76612763562796,0.3333333333333333
line_0007,Fe V,1198.5945,4284,0.004,True,BLEND_MODELED,1198.6729407478551,0.005673464860385663,0.8447031092151306,0.49999999999999994,0.05935312973461328,163.4528735662406,1.667886464961639,98.0,2.0,2.0,484.3346044509264,0.07273061456846182,14.231820849078504,0.3333333333333333
line_0009,Ni V,1202.034,3605,0.005,True,BLEND_MODELED,1202.0666930052985,0.013659134707318684,0.4534716350920191,0.24265189866310294,0.07711540744673931,371.0835879175811,3.7483190698745568,99.0,2.0,2.0,134.83155968382493,0.21418740987611506,5.880428439740979,0.3333333333333333
line_0010,Ni V,1204.727,2833,0.002,True,,1204.4359472660299,0.006332160096833699,0.8331321524419825,0.49999999999999994,0.01964351694942803,309.75978880018533,3.0975978880018533,100.0,1.0,1.0,0.0,1.905849067526392,42.412575843056516,0.0
line_0016,Fe V,1228.1263,2799,0.004,True,,1227.9289017125845,0.0070149351493448584,0.8036183289281357,0.49999999999999983,0.06511970813342109,486.33208796207833,4.863320879620783,100.0,1.0,1.0,0.0,0.42150735462612016,12.3406316146509,0.0
line_0018,Ni V,1234.397,2256,0.002,True,BLEND_MODELED,1234.4643444709682,0.0078858061492875,0.2766117820917119,0.11346502439665991,0.023369974714542382,425.43755363480864,4.431641183695923,96.0,3.0,3.0,461.2916796861893,0.1057398002850971,11.836203738790752,0.6666666666666666
line_0019,Ni V,1234.584,3628,0.002,True,BLEND_RESOLVED,1234.725076884789,0.005186378313655519,0.14475827848686426,0.0885734196273784,0.007008381238113707,456.09488164416376,4.654029404532284,98.0,2.0,2.0,254.5568522600709,0.1938906670671433,20.655023402497676,0.3333333333333333
